ID,Edge,R2,R4,ep,as,J,Je,ep1,ep2,ti,to,R1,R3,R5,t1,t2,t3,t4,Convection,Radiation,‚‘t,SAT,ar,ƒ°R
1969,Hoka,0.07504,0.4274,0.10008,0.1305,98.79334,78.66997,0.41471,0.61416,30.52168,21.83778,0.04,0.037206711,0.11,22.54702285,23.46816701,23.92489334,29.17138872,-11.41815838,-0.857216863,-12.27537525,22.05600784,1.876871983,0.689646711
1970,Hoka,0.03842,2.84225,0.34894,0.17267,610.11497,140.754,0.86737,0.79273,31.97319,35.41783,0.04,0.034442976,0.11,37.78592037,37.71209665,37.64591474,32.18455412,1.65454756,0.266944435,1.921491995,37.86278005,4.033495946,3.065112976
1971,Hoka,0.06754,2.61909,0.93109,0.85192,335.80375,45.62902,0.63509,0.16121,37.69174,29.91199,0.04,0.038697121,0.11,40.46389026,40.39785519,40.36002032,37.79928898,0.945871751,0.031846213,0.977717964,40.50299898,0.841715933,2.875327121
1972,Hoka,0.03943,6.95098,0.52881,0.60389,436.43781,97.78062,0.23323,0.1445,11.90096,36.11417,0.04,0.039125374,0.11,45.13895322,44.95538748,44.77323993,12.41306325,4.553688852,0.101795221,4.655484073,45.32517258,0.558861311,7.179535374
1973,Hoka,0.07173,2.27569,0.50837,0.24158,619.88136,83.28207,0.14953,0.87489,2.94939,27.02726,0.04,0.038706894,0.11,31.24396748,30.4308798,29.99212197,4.196283149,10.9689458,0.366446466,11.33539226,31.69738317,0.835190711,2.536126894
1974,Hoka,0.04882,0.16023,0.56326,0.83352,304.6849,144.18034,0.5729,0.64771,4.7915,12.98727,0.04,0.036374408,0.11,18.90929855,16.9701213,15.52529493,9.160805562,36.12065934,3.600300311,39.72095965,20.49813694,2.491856722,0.395424408
1975,Hoka,0.08758,3.2382,0.30316,0.65296,77.88588,69.77727,0.73999,0.23101,18.6931,9.53675,0.04,0.038140366,0.11,10.9177,11.11372335,11.19908991,18.44689574,-2.134163761,-0.104056803,-2.238220565,10.82817118,1.218941175,3.513920366
1976,Hoka,0.0565,6.11891,0.72403,0.60404,724.79315,61.75183,0.05081,0.18893,-2.69252,13.74987,0.04,0.039622855,0.11,30.63017282,30.33250921,30.12376085,-2.112997918,5.218708912,0.049673654,5.268382566,30.84090812,0.237959496,6.365032855
1977,Hoka,0.05376,6.67253,0.61556,0.54961,260.78766,15.90787,0.27903,0.27513,35.83051,-8.67532,0.04,0.03858411,0.11,-2.645401385,-2.34452824,-2.12858846,35.21488414,-5.398494492,-0.19810419,-5.596598682,-2.869265332,0.9174048,6.91487411
1978,Hoka,0.00609,3.92675,0.38088,0.56907,456.49481,147.81289,0.64901,0.55494,31.64757,-11.97975,0.04,0.03644971,0.11,-2.795125201,-2.743705461,-2.435949372,30.71880623,-7.693902217,-0.749404743,-8.44330696,-3.132857479,2.435060657,4.11928971
